target_type,target,horizon,pc_count,model,nobs,r2,adj_r2,alpha,l1_ratio
raw_sector_return,Communication Services,2,5,Ridge,95,0.04787701756155793,-0.005613037631613027,100.0,
raw_sector_return,Communication Services,2,5,Lasso,95,0.0,-0.05617977528089879,1.0,
raw_sector_return,Communication Services,2,5,ElasticNet,95,0.0,-0.05617977528089879,1.0,0.1
raw_sector_return,Energy,2,5,OLS,95,0.07900278274145622,0.02726136604153806,,
raw_sector_return,Energy,2,5,Ridge,95,0.05943341914809974,0.006592599999116655,56.23413251903491,
raw_sector_return,Energy,2,5,Lasso,95,0.0011227564096405462,-0.054993942668469575,0.01467799267622069,
raw_sector_return,Energy,2,5,ElasticNet,95,0.00099307933009396,-0.05513090497720419,0.1467799267622069,0.1
raw_sector_return,Financials,2,5,OLS,95,0.02231693606714591,-0.03260907876054242,,
raw_sector_return,Financials,2,5,Ridge,95,0.002498307058171334,-0.05354111389361682,1000.0,
raw_sector_return,Financials,2,5,Lasso,95,0.0,-0.05617977528089879,1.0,
raw_sector_return,Financials,2,5,ElasticNet,95,0.0,-0.05617977528089879,1.0,0.1
raw_sector_return,Industrials,2,5,OLS,95,0.023762446876288146,-0.03108235947897664,,
raw_sector_return,Industrials,2,5,Ridge,95,0.0028642747651215217,-0.05315458620313018,1000.0,
raw_sector_return,Industrials,2,5,Lasso,95,0.0,-0.05617977528089879,1.0,
raw_sector_return,Industrials,2,5,ElasticNet,95,0.0,-0.05617977528089879,1.0,0.1
raw_sector_return,Technology,2,5,OLS,95,0.05041849775381935,-0.0029287776532695986,,
raw_sector_return,Technology,2,5,Ridge,95,0.009726567316558965,-0.04590677159824108,1000.0,
raw_sector_return,Technology,2,5,Lasso,95,0.0,-0.05617977528089879,1.0,
raw_sector_return,Technology,2,5,ElasticNet,95,0.0,-0.05617977528089879,1.0,0.1
raw_sector_return,Consumer Staples,2,5,OLS,95,0.01676127859647092,-0.03847685181945759,,
raw_sector_return,Consumer Staples,2,5,Ridge,95,0.0022770976132132636,-0.053774750835482665,1000.0,
raw_sector_return,Consumer Staples,2,5,Lasso,95,0.0,-0.05617977528089879,1.0,
raw_sector_return,Consumer Staples,2,5,ElasticNet,95,0.0,-0.05617977528089879,1.0,0.1
raw_sector_return,Real Estate,2,5,OLS,95,0.03529329069060383,-0.018903715450373504,,
raw_sector_return,Real Estate,2,5,Ridge,95,0.0053590478566678534,-0.050519657319923805,1000.0,
raw_sector_return,Real Estate,2,5,Lasso,95,0.0,-0.05617977528089879,1.0,
raw_sector_return,Real Estate,2,5,ElasticNet,95,0.0,-0.05617977528089879,1.0,0.1
raw_sector_return,Utilities,2,5,OLS,95,0.0018871837252507628,-0.054186569998049716,,
raw_sector_return,Utilities,2,5,Ridge,95,0.0003487396670920351,-0.05581144349767819,1000.0,
raw_sector_return,Utilities,2,5,Lasso,95,0.0,-0.05617977528089879,1.0,
raw_sector_return,Utilities,2,5,ElasticNet,95,0.0,-0.05617977528089879,1.0,0.1
raw_sector_return,Health Care,2,5,OLS,95,0.007539037809286775,-0.0482171960216522,,
raw_sector_return,Health Care,2,5,Ridge,95,0.0011388191561610972,-0.05497697752045916,1000.0,
raw_sector_return,Health Care,2,5,Lasso,95,0.0,-0.05617977528089879,1.0,
raw_sector_return,Health Care,2,5,ElasticNet,95,0.0,-0.05617977528089879,1.0,0.1
raw_sector_return,Consumer Discretionary,2,5,OLS,95,0.01864146749247364,-0.03649103433379186,,
raw_sector_return,Consumer Discretionary,2,5,Ridge,95,0.0028239046600285755,-0.05319722429165519,1000.0,
raw_sector_return,Consumer Discretionary,2,5,Lasso,95,0.0,-0.05617977528089879,1.0,
raw_sector_return,Consumer Discretionary,2,5,ElasticNet,95,0.0,-0.05617977528089879,1.0,0.1
raw_sector_return,Materials,2,10,OLS,95,0.10989333330576179,0.00392825393740015,,
raw_sector_return,Materials,2,10,Ridge,95,0.01782559757276192,-0.09909992652571886,1000.0,
raw_sector_return,Materials,2,10,Lasso,95,0.011059503669859194,-0.10667150779801471,0.01,
raw_sector_return,Materials,2,10,ElasticNet,95,0.010214996916360852,-0.10761655106978663,0.1,0.1
raw_sector_return,Communication Services,2,10,OLS,95,0.1524387154560337,0.051538562534132915,,
raw_sector_return,Communication Services,2,10,Ridge,95,0.11239978584358212,0.006733093682103841,100.0,
raw_sector_return,Communication Services,2,10,Lasso,95,0.06732885823962242,-0.04370342054137488,0.006812920690579608,
raw_sector_return,Communication Services,2,10,ElasticNet,95,0.0759518150593479,-0.034053921243110796,0.006812920690579608,0.9
raw_sector_return,Energy,2,10,OLS,95,0.11295652741401108,0.007356114010917181,,
raw_sector_return,Energy,2,10,Ridge,95,0.04902738952693497,-0.06418363552938233,316.22776601683796,
raw_sector_return,Energy,2,10,Lasso,95,0.0,-0.11904761904761907,0.021544346900318822,
raw_sector_return,Energy,2,10,ElasticNet,95,0.0,-0.11904761904761907,0.03162277660168379,0.7
raw_sector_return,Financials,2,10,OLS,95,0.14733971888998765,0.04583254256736713,,
raw_sector_return,Financials,2,10,Ridge,95,0.07262769630014154,-0.037773768426032195,177.82794100389228,
raw_sector_return,Financials,2,10,Lasso,95,0.08136466588254399,-0.027996683417153223,0.006812920690579608,
raw_sector_return,Financials,2,10,ElasticNet,95,0.08983881546780759,-0.0185137065003107,0.006812920690579608,0.9
raw_sector_return,Industrials,2,10,OLS,95,0.09084225451209371,-0.017390810426942682,,
raw_sector_return,Industrials,2,10,Ridge,95,0.013265671350937258,-0.10420270110728436,1000.0,
raw_sector_return,Industrials,2,10,Lasso,95,0.0,-0.11904761904761907,1.0,
raw_sector_return,Industrials,2,10,ElasticNet,95,0.0,-0.11904761904761907,1.0,0.1
raw_sector_return,Technology,2,10,OLS,95,0.1249418532142591,0.020768264311194717,,
raw_sector_return,Technology,2,10,Ridge,95,0.01929060932084148,-0.09746050861715361,1000.0,
raw_sector_return,Technology,2,10,Lasso,95,0.0,-0.11904761904761907,1.0,
raw_sector_return,Technology,2,10,ElasticNet,95,0.0,-0.11904761904761907,1.0,0.1
raw_sector_return,Consumer Staples,2,10,OLS,95,0.06447445683273667,-0.046897631639556625,,
raw_sector_return,Consumer Staples,2,10,Ridge,95,0.005959975558328612,-0.11237812258948932,1000.0,
raw_sector_return,Consumer Staples,2,10,Lasso,95,0.0,-0.11904761904761907,1.0,
raw_sector_return,Consumer Staples,2,10,ElasticNet,95,0.0,-0.11904761904761907,1.0,0.1
raw_sector_return,Real Estate,2,10,OLS,95,0.08951632615842497,-0.018874587394143383,,
raw_sector_return,Real Estate,2,10,Ridge,95,0.01108708723930274,-0.1066406404703042,1000.0,
raw_sector_return,Real Estate,2,10,Lasso,95,0.0,-0.11904761904761907,0.01467799267622069,
raw_sector_return,Real Estate,2,10,ElasticNet,95,0.0,-0.11904761904761907,0.046415888336127774,0.3
raw_sector_return,Utilities,2,10,OLS,95,0.03871236886143081,-0.07572663484554165,,
raw_sector_return,Utilities,2,10,Ridge,95,0.004941476638141151,-0.11351787138112779,1000.0,
raw_sector_return,Utilities,2,10,Lasso,95,0.0,-0.11904761904761907,1.0,
raw_sector_return,Utilities,2,10,ElasticNet,95,0.0,-0.11904761904761907,1.0,0.1
raw_sector_return,Health Care,2,10,OLS,95,0.07737352701138034,-0.0324629578682174,,
raw_sector_return,Health Care,2,10,Ridge,95,0.006875630288796453,-0.11135346134348967,1000.0,
raw_sector_return,Health Care,2,10,Lasso,95,0.0,-0.11904761904761907,1.0,
raw_sector_return,Health Care,2,10,ElasticNet,95,0.0,-0.11904761904761907,1.0,0.1
raw_sector_return,Consumer Discretionary,2,10,OLS,95,0.09310120805800659,-0.014862933839849601,,
raw_sector_return,Consumer Discretionary,2,10,Ridge,95,0.014300710422637364,-0.10304444309847716,1000.0,
raw_sector_return,Consumer Discretionary,2,10,Lasso,95,0.038867270984095925,-0.07555329199398786,0.006812920690579608,
raw_sector_return,Consumer Discretionary,2,10,ElasticNet,95,0.03683136602064441,-0.0778315665959457,0.06812920690579609,0.1
raw_sector_return,Materials,2,13,OLS,95,0.11935297905006326,-0.021985431719679704,,
