target_type,target,pc_count,horizon,model,n_oos,start,end,oos_r2,msfe_model,msfe_benchmark,msfe_ratio,directional_accuracy
sector_excess_return,Communication Services_excess,5,1,ElasticNet,34,2023-07-01,2026-04-01,0.026842121885481296,0.00045733002319948583,0.0004699443260795022,0.9731578781145187,0.4117647058823529
sector_excess_return,Communication Services_excess,10,1,OLS,34,2023-07-01,2026-04-01,-0.15318501341409552,0.0005419327539738688,0.0004699443260795022,1.1531850134140955,0.5
sector_excess_return,Communication Services_excess,10,1,Ridge,34,2023-07-01,2026-04-01,0.0812584396459114,0.00043175738342183243,0.0004699443260795022,0.9187415603540886,0.5294117647058824
sector_excess_return,Communication Services_excess,10,1,Lasso,34,2023-07-01,2026-04-01,-0.0601886415209667,0.0004982296366567137,0.0004699443260795022,1.0601886415209667,0.38235294117647056
sector_excess_return,Communication Services_excess,10,1,ElasticNet,34,2023-07-01,2026-04-01,-0.014467127856022666,0.0004767430707301068,0.0004699443260795022,1.0144671278560227,0.4411764705882353
sector_excess_return,Communication Services_excess,13,1,OLS,34,2023-07-01,2026-04-01,-0.22041628503139288,0.0005735277086055276,0.0004699443260795022,1.2204162850313929,0.5
sector_excess_return,Communication Services_excess,13,1,Ridge,34,2023-07-01,2026-04-01,0.09713518999166426,0.00042429619468026513,0.0004699443260795022,0.9028648100083357,0.5882352941176471
sector_excess_return,Communication Services_excess,13,1,Lasso,34,2023-07-01,2026-04-01,-0.10767292143635854,0.0005205446045809229,0.0004699443260795022,1.1076729214363585,0.3235294117647059
sector_excess_return,Communication Services_excess,13,1,ElasticNet,34,2023-07-01,2026-04-01,-0.15767870575633625,0.0005440445391932517,0.0004699443260795022,1.1576787057563362,0.3235294117647059
sector_excess_return,Communication Services_excess,5,2,OLS,33,2023-07-01,2026-03-01,0.020684848273443412,0.0004728881075316288,0.00048287633117685913,0.9793151517265566,0.5151515151515151
sector_excess_return,Communication Services_excess,5,2,Ridge,33,2023-07-01,2026-03-01,0.0518336774570024,0.00045784707517501714,0.00048287633117685913,0.9481663225429976,0.5151515151515151
sector_excess_return,Communication Services_excess,5,2,Lasso,33,2023-07-01,2026-03-01,0.06681539752128562,0.0004506127571556573,0.00048287633117685913,0.9331846024787144,0.5151515151515151
