date,model,pc_count,horizon,n_holdings,holdings,strategy_return,spy_return,equal_weight_sector_return,strategy_excess_vs_spy,strategy_excess_vs_equal_weight
2023-10-01,ElasticNet,5,1,3,"Technology, Energy, Consumer Discretionary",-0.033810112006343394,-0.01825779228410318,-0.020023403038744413,-0.015552319722240214,-0.013786708967598982
2023-11-01,ElasticNet,5,1,3,"Technology, Financials, Consumer Discretionary",0.11600493521169881,0.09134380514453877,0.0784132642398898,0.024661130067160045,0.037591670971809016
2023-12-01,ElasticNet,5,1,3,"Technology, Consumer Discretionary, Financials",0.04877110006428276,0.04143294701986755,0.03862652376090476,0.007338153044415208,0.010144576303377999
2024-01-01,ElasticNet,5,1,3,"Technology, Financials, Consumer Discretionary",0.007607156516761175,0.020045557241584966,0.003005011449386787,-0.01243840072482379,0.0046021450673743875
2024-02-01,ElasticNet,5,1,3,"Technology, Financials, Consumer Discretionary",0.055578463331228845,0.052186758404574984,0.04283032392060204,0.00339170492665386,0.012748139410626802
2024-03-01,ElasticNet,5,1,3,"Technology, Financials, Consumer Discretionary",0.015845717293106316,0.029503233625059355,0.03527664179162237,-0.01365751633195304,-0.019430924498516054
2024-04-01,ElasticNet,5,1,3,"Technology, Financials, Industrials",-0.04216881350233145,-0.03733784228133907,-0.03282816264062407,-0.004830971220992374,-0.009340650861707378
2024-05-01,ElasticNet,5,1,3,"Technology, Financials, Industrials",0.03962005275412269,0.05057965848461543,0.03717179983633903,-0.01095960573049274,0.0024482529177836596
2024-06-01,ElasticNet,5,1,3,"Technology, Financials, Consumer Discretionary",0.03342586058111304,0.03195108465249685,0.0008698349692087523,0.0014747759286161885,0.032556025611904287
2024-07-01,ElasticNet,5,1,3,"Technology, Financials, Consumer Discretionary",0.022386137118911315,0.015374300833944421,0.03802368315534959,0.007011836284966894,-0.015637546036438275
2024-08-01,ElasticNet,5,1,3,"Technology, Energy, Financials",0.010670554176582211,0.02336554549400094,0.028643955269682362,-0.012694991317418728,-0.017973401093100153
2024-09-01,ElasticNet,5,1,3,"Technology, Financials, Consumer Discretionary",0.028757558340832823,0.017882365948037604,0.018750087176755467,0.010875192392795219,0.010007471164077356
2024-10-01,ElasticNet,5,1,3,"Technology, Financials, Consumer Discretionary",5.050998684741348e-05,-0.005883620553885138,-0.009026727859149345,0.005934130540732552,0.009077237845996759
2024-11-01,ElasticNet,5,1,3,"Technology, Financials, Consumer Discretionary",0.09510623495169661,0.05963358734922419,0.05867149014568662,0.035472647602472415,0.036434744806009986
2024-12-01,ElasticNet,5,1,3,"Technology, Consumer Discretionary, Financials",-0.01819455170205438,-0.027333849020939383,-0.061539044346061125,0.009139297318885003,0.04334449264400675
2025-01-01,ElasticNet,5,1,3,"Technology, Consumer Discretionary, Financials",0.03353371369227091,0.030312349336667932,0.041842611010318026,0.003221364355602975,-0.008308897318047119
2025-02-01,ElasticNet,5,1,3,"Technology, Financials, Consumer Discretionary",-0.02630032717662752,-0.012694731238455215,0.0059725767050469065,-0.013605595938172305,-0.032272903881674427
2025-03-01,ElasticNet,5,1,3,"Technology, Communication Services, Consumer Discretionary",-0.0748477899999553,-0.05855127312380792,-0.03493812018374291,-0.016296516876147374,-0.039909669816212384
2025-04-01,ElasticNet,5,1,3,"Technology, Consumer Discretionary, Communication Services",0.004293854607029246,-0.005688179883167943,-0.01618019801328552,0.00998203449019719,0.020474052620314764
2025-05-01,ElasticNet,5,1,3,"Technology, Consumer Discretionary, Communication Services",0.08200832231389987,0.06284487470790778,0.038792001325110764,0.01916344760599209,0.04321632098878911
2025-06-01,ElasticNet,5,1,3,"Technology, Financials, Communication Services",0.06488172797378085,0.0482872271127599,0.02586109764674971,0.016594500861020947,0.03902063032703114
2025-07-01,ElasticNet,5,1,3,"Technology, Financials, Consumer Discretionary",0.02124436933978746,0.02605592955723468,0.014523401087095288,-0.004811560217447219,0.0067209682526921735
2025-08-01,ElasticNet,5,1,3,"Technology, Financials, Consumer Discretionary",0.0254636729194652,0.020519537835420598,0.0249046923750461,0.004944135084044603,0.0005589805444191007
2025-09-01,ElasticNet,5,1,3,"Financials, Technology, Communication Services",0.04479903708474028,0.03275713817185344,0.014136041820775698,0.012041898912886838,0.030662995263964578
2025-10-01,ElasticNet,5,1,3,"Technology, Financials, Consumer Discretionary",0.015491048144116911,0.02667595931623068,0.0011516132623466554,-0.011184911172113768,0.014339434881770256
2025-11-01,ElasticNet,5,1,3,"Technology, Financials, Communication Services",-0.008235927884912972,0.0019499438514807288,0.017387210724725446,-0.0101858717363937,-0.02562313860963842
2025-12-01,ElasticNet,5,1,3,"Technology, Financials, Communication Services",0.017734437841514294,-0.0021511202145568786,-0.004848542405299689,0.019885558056071173,0.02258298024681398
2026-01-01,ElasticNet,5,1,3,"Technology, Communication Services, Consumer Discretionary",0.013663606524607038,0.017736279088188978,0.04364758626321304,-0.004072672563581939,-0.029983979738605997
2026-02-01,ElasticNet,5,1,3,"Technology, Energy, Industrials",0.04351058094161101,-0.008641951723092456,0.03630410461705924,0.05215253266470347,0.007206476324551771
2026-03-01,ElasticNet,5,1,3,"Energy, Technology, Industrials",-0.0112436339195879,-0.05196861816263498,-0.04979844528166384,0.04072498424304708,0.03855481136207594
2026-04-01,ElasticNet,5,1,3,"Technology, Industrials, Consumer Discretionary",0.12409665093187823,0.10807055160424506,0.05995429255904258,0.016026099327633173,0.06414235837283565
2021-06-01,ElasticNet,10,1,3,"Technology, Consumer Discretionary, Financials",0.021908226503599543,0.019093490355940324,0.00407739581689008,0.00281473614765922,0.017830830686709463
2021-07-01,ElasticNet,10,1,3,"Technology, Financials, Consumer Discretionary",0.017371611082736365,0.027764076188469655,0.020182187624220596,-0.01039246510573329,-0.002810576541484231
2021-08-01,ElasticNet,10,1,3,"Financials, Technology, Consumer Discretionary",0.034972885293649725,0.02975988974776289,0.02314835762769928,0.005212995545886834,0.011824527665950445
2021-09-01,ElasticNet,10,1,3,"Financials, Technology, Energy",-0.0021566202002558286,-0.049650139483337186,-0.04318220532075823,0.047493519283081355,0.041025585120502396
2021-10-01,ElasticNet,10,1,3,"Technology, Energy, Consumer Discretionary",0.10765400302020763,0.07359206137685681,0.0718285512814849,0.034061941643350815,0.03582545173872273
2021-11-01,ElasticNet,10,1,3,"Technology, Consumer Discretionary, Financials",0.0012463352537701589,-0.00803491038316273,-0.019905417546838097,0.009281245636932889,0.021151752800608256
2021-12-01,ElasticNet,10,1,3,"Technology, Consumer Discretionary, Financials",0.01974617382005861,0.0425848772954196,0.0537852115257696,-0.02283870347536099,-0.03403903770571099
2022-01-01,ElasticNet,10,1,3,"Technology, Consumer Discretionary, Financials",-0.051870084973580664,-0.049413238680520055,-0.025685485106953607,-0.002456846293060609,-0.026184599866627058
2022-02-01,ElasticNet,10,1,3,"Technology, Consumer Discretionary, Financials",-0.03441958596420832,-0.029517208095069525,-0.019893052623656312,-0.004902377869138795,-0.014526533340552008
2022-03-01,ElasticNet,10,1,3,"Technology, Materials, Industrials",0.03989540995311066,0.03437722458951975,0.043686844608537896,0.005518185363590909,-0.0037914346554272366
2022-04-01,ElasticNet,10,1,3,"Materials, Technology, Consumer Discretionary",-0.08616888706573085,-0.08493504374409111,-0.05990637780851931,-0.001233843321639741,-0.02626250925721154
2022-05-01,ElasticNet,10,1,3,"Materials, Utilities, Technology",0.015994428614216145,0.00225712677897949,0.011115493540274059,0.013737301835236655,0.004878935073942086
2022-06-01,ElasticNet,10,1,3,"Technology, Industrials, Materials",-0.10570424929060403,-0.08640701297398934,-0.0920355554556921,-0.019297236316614688,-0.013668693834911927
2022-07-01,ElasticNet,10,1,3,"Energy, Technology, Consumer Discretionary",0.1445079816328545,0.09680526146568647,0.08676394098671379,0.04770272016716803,0.05774404064614071
2022-08-01,ElasticNet,10,1,3,"Energy, Technology, Consumer Discretionary",-0.026852666841955714,-0.04080214098808066,-0.029609265061107223,0.013949474146124945,0.0027565982191515084
2022-09-01,ElasticNet,10,1,3,"Technology, Consumer Discretionary, Financials",-0.09573768941068557,-0.09615881852104835,-0.09940485149712584,0.00042112911036278067,0.003667162086440273
2022-10-01,ElasticNet,10,1,3,"Energy, Technology, Financials",0.15586267958085612,0.08571730645544973,0.08932910682159777,0.07014537312540639,0.06653357275925835
2022-11-01,ElasticNet,10,1,3,"Energy, Technology, Materials",0.06436025341510414,0.055591502201789655,0.06085893012651627,0.008768751213314482,0.0035013232885878695
2022-12-01,ElasticNet,10,1,3,"Technology, Energy, Financials",-0.06107147343994094,-0.06193588226697544,-0.05387170882790235,0.0008644088270345004,-0.007199764612038591
2023-01-01,ElasticNet,10,1,3,"Technology, Materials, Energy",0.07707044681216042,0.06776843042023972,0.06686229346958848,0.0093020163919207,0.01020815334257194
2023-02-01,ElasticNet,10,1,3,"Technology, Financials, Consumer Discretionary",-0.013369189977771256,-0.025142733358399783,-0.03341568688474177,0.011773543380628526,0.020046496906970517
2023-03-01,ElasticNet,10,1,3,"Technology, Industrials, Consumer Discretionary",0.04523369599262569,0.033134720974111076,0.015419210385100725,0.012098975018514611,0.029814485607524963
2023-04-01,ElasticNet,10,1,3,"Technology, Financials, Consumer Discretionary",0.009881003888335424,0.01985241384061731,0.02002429275157127,-0.009971409952281888,-0.010143288863235846
2023-05-01,ElasticNet,10,1,3,"Technology, Consumer Discretionary, Financials",0.024008816355454748,0.004616386135013029,-0.027061148355849787,0.01939243022044172,0.05106996471130454
2023-06-01,ElasticNet,10,1,3,"Technology, Consumer Discretionary, Industrials",0.09548846978187231,0.060858986035215556,0.06095831924308341,0.03462948374665675,0.0345301505387889
2023-07-01,ElasticNet,10,1,3,"Technology, Industrials, Consumer Discretionary",0.02872526562356296,0.03656942777723482,0.038538476798853166,-0.007844162153671858,-0.009813211175290205
2023-08-01,ElasticNet,10,1,3,"Technology, Communication Services, Industrials",-0.01677509931173819,-0.01625207631064063,-0.022691144644494853,-0.0005230230010975605,0.005916045332756664
2023-09-01,ElasticNet,10,1,3,"Energy, Materials, Financials",-0.023673920388110965,-0.05078266740865656,-0.047410746005668455,0.027108747020545592,0.02373682561755749
2023-10-01,ElasticNet,10,1,3,"Energy, Technology, Financials",-0.022669164562030424,-0.01825779228410318,-0.020023403038744413,-0.004411372277927244,-0.0026457615232860117
2023-11-01,ElasticNet,10,1,3,"Technology, Communication Services, Financials",0.10545947333286983,0.09134380514453877,0.0784132642398898,0.014115668188331057,0.027046209092980028
2023-12-01,ElasticNet,10,1,3,"Communication Services, Technology, Consumer Discretionary",0.04679378181569375,0.04143294701986755,0.03862652376090476,0.005360834795826198,0.00816725805478899
2024-01-01,ElasticNet,10,1,3,"Communication Services, Technology, Financials",0.03737249430419265,0.020045557241584966,0.003005011449386787,0.017326937062607684,0.03436748285480586
2024-02-01,ElasticNet,10,1,3,"Technology, Communication Services, Consumer Discretionary",0.05727774244428696,0.052186758404574984,0.04283032392060204,0.0050909840397119765,0.014447418523684918
2024-03-01,ElasticNet,10,1,3,"Technology, Communication Services, Financials",0.02644635782153637,0.029503233625059355,0.03527664179162237,-0.003056875803522985,-0.008830283970085999
2024-04-01,ElasticNet,10,1,3,"Technology, Communication Services, Industrials",-0.044094330807969394,-0.03733784228133907,-0.03282816264062407,-0.006756488526630321,-0.011266168167345325
2024-05-01,ElasticNet,10,1,3,"Technology, Communication Services, Industrials",0.0521669819184134,0.05057965848461543,0.03717179983633903,0.0015873234337979714,0.01499518208207437
2024-06-01,ElasticNet,10,1,3,"Technology, Communication Services, Consumer Discretionary",0.04727697889114668,0.03195108465249685,0.0008698349692087523,0.015325894238649829,0.04640714392193793
2024-07-01,ElasticNet,10,1,3,"Technology, Industrials, Consumer Discretionary",0.017242003569098812,0.015374300833944421,0.03802368315534959,0.001867702735154391,-0.020781679586250778
2024-08-01,ElasticNet,10,1,3,"Energy, Technology, Materials",0.0031708798560727836,0.02336554549400094,0.028643955269682362,-0.020194665637928155,-0.02547307541360958
2024-09-01,ElasticNet,10,1,3,"Financials, Technology, Materials",0.012578762390072681,0.017882365948037604,0.018750087176755467,-0.005303603557964923,-0.0061713247866827855
2024-10-01,ElasticNet,10,1,3,"Financials, Technology, Materials",-0.0037353423253051465,-0.005883620553885138,-0.009026727859149345,0.0021482782285799917,0.005291385533844199
2024-11-01,ElasticNet,10,1,3,"Financials, Technology, Energy",0.07820005777370136,0.05963358734922419,0.05867149014568662,0.018566470424477163,0.019528567628014734
2024-12-01,ElasticNet,10,1,3,"Technology, Financials, Communication Services",-0.02665467297725303,-0.027333849020939383,-0.061539044346061125,0.0006791760436863532,0.03488437136880809
2025-01-01,ElasticNet,10,1,3,"Technology, Financials, Energy",0.031827186451361324,0.030312349336667932,0.041842611010318026,0.0015148371146933917,-0.010015424558956702
2025-02-01,ElasticNet,10,1,3,"Energy, Technology, Financials",0.00975239041171172,-0.012694731238455215,0.0059725767050469065,0.022447121650166935,0.0037798137066648134
2025-03-01,ElasticNet,10,1,3,"Energy, Technology, Industrials",-0.032042432643186326,-0.05855127312380792,-0.03493812018374291,0.026508840480621597,0.0028956875405565866
2025-04-01,ElasticNet,10,1,3,"Energy, Technology, Industrials",-0.03631701998778251,-0.005688179883167943,-0.01618019801328552,-0.030628840104614564,-0.02013682197449699
2025-05-01,ElasticNet,10,1,3,"Technology, Energy, Industrials",0.06697492845817392,0.06284487470790778,0.038792001325110764,0.0041300537502661355,0.028182927133063154
2025-06-01,ElasticNet,10,1,3,"Financials, Technology, Energy",0.05485347896404188,0.0482872271127599,0.02586109764674971,0.006566251851281978,0.02899238131729217
2025-07-01,ElasticNet,10,1,3,"Energy, Financials, Technology",0.026455023062978533,0.02605592955723468,0.014523401087095288,0.0003990935057438527,0.011931621975883246
2025-08-01,ElasticNet,10,1,3,"Financials, Materials, Technology",0.027231205234633515,0.020519537835420598,0.0249046923750461,0.006711667399212917,0.0023265128595874145
2025-09-01,ElasticNet,10,1,3,"Technology, Financials, Consumer Discretionary",0.035274742062354036,0.03275713817185344,0.014136041820775698,0.002517603890500597,0.021138700241578337
2025-10-01,ElasticNet,10,1,3,"Technology, Consumer Discretionary, Industrials",0.026884355713219527,0.02667595931623068,0.0011516132623466554,0.00020839639698884763,0.025732742450872873
2025-11-01,ElasticNet,10,1,3,"Technology, Health Care, Financials",0.02104483740587626,0.0019499438514807288,0.017387210724725446,0.01909489355439553,0.0036576266811508135
2025-12-01,ElasticNet,10,1,3,"Communication Services, Technology, Consumer Discretionary",0.012060707325305101,-0.0021511202145568786,-0.004848542405299689,0.01421182753986198,0.01690924973060479
2026-01-01,ElasticNet,10,1,3,"Technology, Communication Services, Consumer Discretionary",0.013663606524607038,0.017736279088188978,0.04364758626321304,-0.004072672563581939,-0.029983979738605997
2026-02-01,ElasticNet,10,1,3,"Technology, Industrials, Health Care",0.02347334052953698,-0.008641951723092456,0.03630410461705924,0.032115292252629435,-0.012830764087522262
2026-03-01,ElasticNet,10,1,3,"Technology, Energy, Industrials",-0.0112436339195879,-0.05196861816263498,-0.04979844528166384,0.04072498424304708,0.03855481136207594
2026-04-01,ElasticNet,10,1,3,"Technology, Communication Services, Financials",0.10576465630791176,0.10807055160424506,0.05995429255904258,-0.0023058952963332935,0.04581036374886918
2021-06-01,ElasticNet,13,1,3,"Technology, Consumer Discretionary, Financials",0.021908226503599543,0.019093490355940324,0.00407739581689008,0.00281473614765922,0.017830830686709463
2021-07-01,ElasticNet,13,1,3,"Technology, Consumer Discretionary, Industrials",0.021790734546189922,0.027764076188469655,0.020182187624220596,-0.005973341642279733,0.0016085469219693262
2021-08-01,ElasticNet,13,1,3,"Technology, Financials, Consumer Discretionary",0.034972885293649725,0.02975988974776289,0.02314835762769928,0.005212995545886834,0.011824527665950445
2021-09-01,ElasticNet,13,1,3,"Financials, Technology, Consumer Discretionary",-0.035192972360376294,-0.049650139483337186,-0.04318220532075823,0.014457167122960891,0.007989232960381933
2021-10-01,ElasticNet,13,1,3,"Energy, Financials, Consumer Discretionary",0.1055582997721285,0.07359206137685681,0.0718285512814849,0.031966238395271684,0.0337297484906436
2021-11-01,ElasticNet,13,1,3,"Technology, Consumer Discretionary, Materials",0.0184487503596716,-0.00803491038316273,-0.019905417546838097,0.02648366074283433,0.038354167906509695
2021-12-01,ElasticNet,13,1,3,"Technology, Consumer Discretionary, Materials",0.03364377274223259,0.0425848772954196,0.0537852115257696,-0.008941104553187008,-0.02014143878353701
2022-01-01,ElasticNet,13,1,3,"Technology, Consumer Discretionary, Materials",-0.07463960222915296,-0.049413238680520055,-0.025685485106953607,-0.025226363548632905,-0.04895411712219935
2022-02-01,ElasticNet,13,1,3,"Technology, Consumer Discretionary, Financials",-0.03441958596420832,-0.029517208095069525,-0.019893052623656312,-0.004902377869138795,-0.014526533340552008
2022-03-01,ElasticNet,13,1,3,"Technology, Materials, Consumer Discretionary",0.04380560273046985,0.03437722458951975,0.043686844608537896,0.0094283781409501,0.00011875812193195417
2022-04-01,ElasticNet,13,1,3,"Materials, Technology, Consumer Discretionary",-0.08616888706573085,-0.08493504374409111,-0.05990637780851931,-0.001233843321639741,-0.02626250925721154
2022-05-01,ElasticNet,13,1,3,"Materials, Technology, Consumer Discretionary",-0.015434011371211143,0.00225712677897949,0.011115493540274059,-0.017691138150190633,-0.0265495049114852
2022-06-01,ElasticNet,13,1,3,"Technology, Industrials, Financials",-0.09532122489448476,-0.08640701297398934,-0.0920355554556921,-0.008914211920495421,-0.00328566943879266
