target_type,target,horizon,pc_count,model,pc,coef
raw_sector_return,Utilities,1,5,ElasticNet,PC3,0.0
raw_sector_return,Utilities,1,5,ElasticNet,PC4,0.0
raw_sector_return,Utilities,1,5,ElasticNet,PC5,0.0
raw_sector_return,Health Care,1,5,OLS,PC1,-0.0041556842673207105
raw_sector_return,Health Care,1,5,OLS,PC2,0.0008963921148231884
raw_sector_return,Health Care,1,5,OLS,PC3,-0.0011589967941147154
raw_sector_return,Health Care,1,5,OLS,PC4,-0.0012300648796024231
raw_sector_return,Health Care,1,5,OLS,PC5,0.0025015208558313764
raw_sector_return,Health Care,1,5,Ridge,PC1,-0.0003840532392226125
raw_sector_return,Health Care,1,5,Ridge,PC2,0.0002493895794740965
raw_sector_return,Health Care,1,5,Ridge,PC3,-2.1172124363803306e-05
raw_sector_return,Health Care,1,5,Ridge,PC4,-0.00011307961834980725
raw_sector_return,Health Care,1,5,Ridge,PC5,0.00020191054345897202
raw_sector_return,Health Care,1,5,Lasso,PC1,-0.0
raw_sector_return,Health Care,1,5,Lasso,PC2,0.0
raw_sector_return,Health Care,1,5,Lasso,PC3,-0.0
raw_sector_return,Health Care,1,5,Lasso,PC4,-0.0
raw_sector_return,Health Care,1,5,Lasso,PC5,0.0
raw_sector_return,Health Care,1,5,ElasticNet,PC1,-0.0
raw_sector_return,Health Care,1,5,ElasticNet,PC2,0.0
raw_sector_return,Health Care,1,5,ElasticNet,PC3,-0.0
raw_sector_return,Health Care,1,5,ElasticNet,PC4,-0.0
raw_sector_return,Health Care,1,5,ElasticNet,PC5,0.0
raw_sector_return,Consumer Discretionary,1,5,OLS,PC1,-0.012811402371029606
raw_sector_return,Consumer Discretionary,1,5,OLS,PC2,-0.0022397954184059945
raw_sector_return,Consumer Discretionary,1,5,OLS,PC3,-0.004747664249416394
raw_sector_return,Consumer Discretionary,1,5,OLS,PC4,-0.001851273820152687
raw_sector_return,Consumer Discretionary,1,5,OLS,PC5,0.007828529728154126
raw_sector_return,Consumer Discretionary,1,5,Ridge,PC1,-0.0009544956561331941
raw_sector_return,Consumer Discretionary,1,5,Ridge,PC2,0.00036817553074945365
raw_sector_return,Consumer Discretionary,1,5,Ridge,PC3,-6.714112048805997e-05
raw_sector_return,Consumer Discretionary,1,5,Ridge,PC4,-0.00016265783103961543
raw_sector_return,Consumer Discretionary,1,5,Ridge,PC5,0.000670669146020902
raw_sector_return,Consumer Discretionary,1,5,Lasso,PC1,-0.0
raw_sector_return,Consumer Discretionary,1,5,Lasso,PC2,0.0
raw_sector_return,Consumer Discretionary,1,5,Lasso,PC3,-0.0
raw_sector_return,Consumer Discretionary,1,5,Lasso,PC4,-0.0
raw_sector_return,Consumer Discretionary,1,5,Lasso,PC5,0.0
raw_sector_return,Consumer Discretionary,1,5,ElasticNet,PC1,-0.0
raw_sector_return,Consumer Discretionary,1,5,ElasticNet,PC2,0.0
raw_sector_return,Consumer Discretionary,1,5,ElasticNet,PC3,-0.0
raw_sector_return,Consumer Discretionary,1,5,ElasticNet,PC4,-0.0
raw_sector_return,Consumer Discretionary,1,5,ElasticNet,PC5,0.0
raw_sector_return,Materials,1,10,OLS,PC1,-0.01156919840276524
raw_sector_return,Materials,1,10,OLS,PC2,-0.0025700631444342814
raw_sector_return,Materials,1,10,OLS,PC3,0.0008681154517324698
raw_sector_return,Materials,1,10,OLS,PC4,-0.0006044300112173194
raw_sector_return,Materials,1,10,OLS,PC5,0.0021326025424904943
raw_sector_return,Materials,1,10,OLS,PC6,0.004587621154101767
raw_sector_return,Materials,1,10,OLS,PC7,0.0037408379677062306
raw_sector_return,Materials,1,10,OLS,PC8,-0.007321724513624982
raw_sector_return,Materials,1,10,OLS,PC9,0.003976824024124434
raw_sector_return,Materials,1,10,OLS,PC10,0.0035520021329511443
raw_sector_return,Materials,1,10,Ridge,PC1,-0.00105649096281255
raw_sector_return,Materials,1,10,Ridge,PC2,0.0001283594241719509
raw_sector_return,Materials,1,10,Ridge,PC3,0.00034264924639401526
raw_sector_return,Materials,1,10,Ridge,PC4,-0.0001471264846689616
raw_sector_return,Materials,1,10,Ridge,PC5,0.0001307026350304712
raw_sector_return,Materials,1,10,Ridge,PC6,0.0004239332934040646
raw_sector_return,Materials,1,10,Ridge,PC7,0.0002689389644965728
raw_sector_return,Materials,1,10,Ridge,PC8,-0.000569846850165204
raw_sector_return,Materials,1,10,Ridge,PC9,0.0005581599070911331
raw_sector_return,Materials,1,10,Ridge,PC10,0.00030981358418766383
raw_sector_return,Materials,1,10,Lasso,PC1,-0.00573938594771118
raw_sector_return,Materials,1,10,Lasso,PC2,-0.0
raw_sector_return,Materials,1,10,Lasso,PC3,0.0
raw_sector_return,Materials,1,10,Lasso,PC4,-0.0
raw_sector_return,Materials,1,10,Lasso,PC5,0.0
raw_sector_return,Materials,1,10,Lasso,PC6,0.0
raw_sector_return,Materials,1,10,Lasso,PC7,0.0
raw_sector_return,Materials,1,10,Lasso,PC8,-0.0
raw_sector_return,Materials,1,10,Lasso,PC9,0.0
raw_sector_return,Materials,1,10,Lasso,PC10,0.0
raw_sector_return,Materials,1,10,ElasticNet,PC1,-0.00540779975041986
raw_sector_return,Materials,1,10,ElasticNet,PC2,-0.0
raw_sector_return,Materials,1,10,ElasticNet,PC3,0.0
raw_sector_return,Materials,1,10,ElasticNet,PC4,-0.0
raw_sector_return,Materials,1,10,ElasticNet,PC5,0.0
raw_sector_return,Materials,1,10,ElasticNet,PC6,0.0
raw_sector_return,Materials,1,10,ElasticNet,PC7,0.0
raw_sector_return,Materials,1,10,ElasticNet,PC8,-0.0
raw_sector_return,Materials,1,10,ElasticNet,PC9,0.0
raw_sector_return,Materials,1,10,ElasticNet,PC10,0.0
raw_sector_return,Communication Services,1,10,OLS,PC1,-0.008489351880763099
raw_sector_return,Communication Services,1,10,OLS,PC2,-0.004052544041609987
raw_sector_return,Communication Services,1,10,OLS,PC3,-0.001299539375315582
raw_sector_return,Communication Services,1,10,OLS,PC4,0.005698910536574818
raw_sector_return,Communication Services,1,10,OLS,PC5,0.0056634152366169714
raw_sector_return,Communication Services,1,10,OLS,PC6,0.006241293199218261
raw_sector_return,Communication Services,1,10,OLS,PC7,0.004675122871746476
raw_sector_return,Communication Services,1,10,OLS,PC8,-0.008853199241825663
raw_sector_return,Communication Services,1,10,OLS,PC9,0.005647919135035284
raw_sector_return,Communication Services,1,10,OLS,PC10,-0.008186975609753861
raw_sector_return,Communication Services,1,10,Ridge,PC1,-0.0015981561653127543
raw_sector_return,Communication Services,1,10,Ridge,PC2,-0.00015062444955684864
raw_sector_return,Communication Services,1,10,Ridge,PC3,0.00016815677237594769
raw_sector_return,Communication Services,1,10,Ridge,PC4,0.0014876857559488537
raw_sector_return,Communication Services,1,10,Ridge,PC5,0.0010985059551111705
raw_sector_return,Communication Services,1,10,Ridge,PC6,0.0017122227076784968
raw_sector_return,Communication Services,1,10,Ridge,PC7,0.0009330370527053789
raw_sector_return,Communication Services,1,10,Ridge,PC8,-0.001923471433741491
raw_sector_return,Communication Services,1,10,Ridge,PC9,0.0018264422538821266
raw_sector_return,Communication Services,1,10,Ridge,PC10,-0.00193563948143774
raw_sector_return,Communication Services,1,10,Lasso,PC1,-0.001974337964360782
raw_sector_return,Communication Services,1,10,Lasso,PC2,-0.0
raw_sector_return,Communication Services,1,10,Lasso,PC3,0.0
raw_sector_return,Communication Services,1,10,Lasso,PC4,0.0016305953399583743
raw_sector_return,Communication Services,1,10,Lasso,PC5,0.0004188407384737814
raw_sector_return,Communication Services,1,10,Lasso,PC6,0.0024763159369192026
raw_sector_return,Communication Services,1,10,Lasso,PC7,0.0
raw_sector_return,Communication Services,1,10,Lasso,PC8,-0.003571202837591758
raw_sector_return,Communication Services,1,10,Lasso,PC9,0.003254153002097864
raw_sector_return,Communication Services,1,10,Lasso,PC10,-0.003565299563558248
raw_sector_return,Communication Services,1,10,ElasticNet,PC1,-0.0021672423145981277
raw_sector_return,Communication Services,1,10,ElasticNet,PC2,-0.0
raw_sector_return,Communication Services,1,10,ElasticNet,PC3,0.0
raw_sector_return,Communication Services,1,10,ElasticNet,PC4,0.0018005255536198393
raw_sector_return,Communication Services,1,10,ElasticNet,PC5,0.0006665424122300787
raw_sector_return,Communication Services,1,10,ElasticNet,PC6,0.0026597253247738597
raw_sector_return,Communication Services,1,10,ElasticNet,PC7,0.0
raw_sector_return,Communication Services,1,10,ElasticNet,PC8,-0.003771284896533694
raw_sector_return,Communication Services,1,10,ElasticNet,PC9,0.0034320487934529137
raw_sector_return,Communication Services,1,10,ElasticNet,PC10,-0.0037621019106401795
raw_sector_return,Energy,1,10,OLS,PC1,-0.014140428444110145
raw_sector_return,Energy,1,10,OLS,PC2,-0.009736735856029346
raw_sector_return,Energy,1,10,OLS,PC3,0.001104009406066883
raw_sector_return,Energy,1,10,OLS,PC4,-0.004305410926574086
raw_sector_return,Energy,1,10,OLS,PC5,-0.006000121906301036
raw_sector_return,Energy,1,10,OLS,PC6,0.004547312773179781
raw_sector_return,Energy,1,10,OLS,PC7,0.0032725589485122597
raw_sector_return,Energy,1,10,OLS,PC8,0.0021470086194799115
raw_sector_return,Energy,1,10,OLS,PC9,0.009131426862008974
raw_sector_return,Energy,1,10,OLS,PC10,0.015488577301147471
raw_sector_return,Energy,1,10,Ridge,PC1,-0.001186421188249986
raw_sector_return,Energy,1,10,Ridge,PC2,-0.000632572802523194
raw_sector_return,Energy,1,10,Ridge,PC3,0.0004893859178361209
raw_sector_return,Energy,1,10,Ridge,PC4,-0.0006755087447376022
raw_sector_return,Energy,1,10,Ridge,PC5,-0.0004928763429973982
raw_sector_return,Energy,1,10,Ridge,PC6,0.00038076518438048465
raw_sector_return,Energy,1,10,Ridge,PC7,0.00030379245078672186
raw_sector_return,Energy,1,10,Ridge,PC8,0.000388143391565441
raw_sector_return,Energy,1,10,Ridge,PC9,0.001323802097292834
raw_sector_return,Energy,1,10,Ridge,PC10,0.001395575537335291
raw_sector_return,Energy,1,10,Lasso,PC1,-0.0
raw_sector_return,Energy,1,10,Lasso,PC2,-0.0
raw_sector_return,Energy,1,10,Lasso,PC3,0.0
raw_sector_return,Energy,1,10,Lasso,PC4,-0.0
raw_sector_return,Energy,1,10,Lasso,PC5,-0.0
raw_sector_return,Energy,1,10,Lasso,PC6,0.0
raw_sector_return,Energy,1,10,Lasso,PC7,0.0
raw_sector_return,Energy,1,10,Lasso,PC8,0.0
raw_sector_return,Energy,1,10,Lasso,PC9,0.0
raw_sector_return,Energy,1,10,Lasso,PC10,0.0
raw_sector_return,Energy,1,10,ElasticNet,PC1,-0.0
raw_sector_return,Energy,1,10,ElasticNet,PC2,-0.0
raw_sector_return,Energy,1,10,ElasticNet,PC3,0.0
raw_sector_return,Energy,1,10,ElasticNet,PC4,-0.0
raw_sector_return,Energy,1,10,ElasticNet,PC5,-0.0
raw_sector_return,Energy,1,10,ElasticNet,PC6,0.0
raw_sector_return,Energy,1,10,ElasticNet,PC7,0.0
raw_sector_return,Energy,1,10,ElasticNet,PC8,0.0
raw_sector_return,Energy,1,10,ElasticNet,PC9,0.0
raw_sector_return,Energy,1,10,ElasticNet,PC10,0.0
raw_sector_return,Financials,1,10,OLS,PC1,0.0050160903118223465
raw_sector_return,Financials,1,10,OLS,PC2,0.008458353619268742
raw_sector_return,Financials,1,10,OLS,PC3,0.003742198619423392
raw_sector_return,Financials,1,10,OLS,PC4,-0.0019117610804340736
raw_sector_return,Financials,1,10,OLS,PC5,0.0035709978546759583
raw_sector_return,Financials,1,10,OLS,PC6,0.004392117979340361
raw_sector_return,Financials,1,10,OLS,PC7,0.0038912944479488625
raw_sector_return,Financials,1,10,OLS,PC8,-0.011790195373511943
raw_sector_return,Financials,1,10,OLS,PC9,0.019006753325098016
raw_sector_return,Financials,1,10,OLS,PC10,0.0013381469025174476
raw_sector_return,Financials,1,10,Ridge,PC1,-0.0005014324303116785
